	1_NA_NA_NA_NA_NA_NA_3	2_NA_NA_NA_NA_NA_NA_3	3_NA_NA_NA_NA_NA_NA_2	4_NA_NA_NA_NA_NA_NA_3	5_NA_NA_NA_NA_NA_NA_3	6_NA_NA_NA_NA_NA_NA_3	7_NA_NA_NA_NA_NA_NA_2	8_NA_NA_NA_NA_NA_NA_3	9_NA_NA_NA_NA_NA_NA_3	9_P1_0.33_NA_NA_NA_NA_3	10_NA_NA_NA_NA_NA_NA_2	10_P2_NA_NA_NA_NA_NA_3	10_P3_NA_NA_NA_NA_NA_2	10_P4_NA_NA_NA_NA_NA_2	11_NA_NA_NA_NA_NA_NA_3	11_P1_1.00_NA_NA_NA_NA_3	12_NA_NA_NA_NA_NA_NA_3	12_P5_NA_NA_NA_NA_NA_3	13_NA_NA_NA_NA_NA_NA_3	13_P6_NA_NA_NA_NA_NA_3	14_NA_NA_NA_NA_NA_NA_3	14_P6_NA_NA_NA_NA_NA_3	15_P7_NA_NA_NA_NA_NA_2	15_P8_NA_NA_NA_NA_NA_3	15_NA_NA_NA_NA_NA_NA_3	16_NA_NA_NA_NA_NA_NA_1	16_P9_1.00_NA_NA_NA_NA_1	17_NA_NA_NA_NA_NA_NA_3	17_P5_NA_NA_NA_NA_NA_2	18_NA_NA_NA_NA_NA_NA_3	18_P10_NA_NA_NA_NA_NA_3	19_NA_NA_NA_NA_NA_NA_3	19_P11_1.00_NA_NA_NA_NA_3	20_NA_NA_NA_NA_NA_NA_3	20_P12_1.00_NA_NA_NA_NA_3	21_NA_NA_NA_NA_NA_0.00_5	21_P6_NA_NA_NA_NA_0.33_5	21_P6_NA_NA_NA_NA_2.00_5	22_P13_NA_NA_NA_NA_0.00_5	22_P13_NA_NA_NA_NA_0.67_5	22_P13_NA_NA_NA_NA_2.00_5	23_NA_NA_NA_NA_NA_NA_3	23_NA_NA_NA_G1551_NA_NA_3	23_NA_NA_NA_G1997_NA_NA_3	23_NA_NA_NA_G1551,G1997_NA_NA_3	24_NA_NA_NA_NA_NA_NA_3	24_NA_NA_NA_NA_G529_NA_3	24_NA_NA_NA_NA_G2748_NA_3	24_NA_NA_NA_NA_G1167_NA_3	25_NA_NA_NA_NA_NA_NA_3	25_NA_NA_NA_G1551_NA_NA_3	25_NA_NA_NA_G1997_NA_NA_3	25_NA_NA_NA_G1551,G1997_NA_NA_3
G11	6.0370333	6.5974667	6.3961000	5.7233667	7.0107667	6.7736000	6.2183000	6.8364000	7.8213667	7.6641000	6.0560500	7.2097333	6.6030500	5.7216500	7.5725333	7.1502667	6.1742667	6.2562667	5.0001333	5.4789667	7.1815667	6.6973667	6.0381500	6.4151667	6.9991000	6.8437000	10.4400000	7.5211667	6.7255500	6.5197000	6.4918333	6.7841333	7.3676333	6.1234333	8.7765333	6.7851400	6.7447000	6.8890000	6.4007400	8.4006400	7.7318200	8.1736333	8.1755667	8.1582333	8.0424000	5.8241667	5.9620000	5.9415000	6.3663333	6.6486333	7.0969000	6.7739667	6.8781333
G12	7.3295333	7.5964667	8.2669000	8.3952000	8.6857000	8.5166333	8.3657000	8.6981000	7.9635333	7.7881333	6.5187000	6.6544667	6.4858000	5.1756000	7.7890333	7.7016333	9.4937000	9.5749667	7.1946667	7.3164667	8.0102000	6.8892667	7.0657500	7.0177333	7.5134000	7.2088000	6.3359000	7.5270333	8.5446000	7.2300667	7.3142667	7.3710333	7.3606000	6.9193667	6.8841333	8.9293200	9.2067600	8.2036400	8.4702200	8.9440000	9.0804200	8.7240000	8.6812333	8.6335333	8.8173667	8.3959667	8.3013000	8.3844667	8.5136667	8.0882333	8.3613333	7.9263333	8.1774667
G13	8.1333667	7.2095333	7.1093000	7.7239000	6.7670333	7.6591000	7.0648500	7.1804667	7.4812667	6.6938667	7.3371500	7.2021333	6.7718000	7.0292500	7.9868000	7.2265667	7.2084000	6.9213000	7.4475667	7.4125333	7.1204667	6.6589667	6.7660500	8.0547667	7.2678667	8.7848000	7.2558000	7.0803333	7.4605000	6.5594333	6.8439000	6.8012333	7.5598667	7.0906333	7.0948000	6.9570800	7.2791400	7.5263200	7.0710400	7.5692200	8.4525600	6.4698000	8.0018000	7.5118000	7.7274333	7.2786000	7.2405333	7.2106333	7.6600667	7.2347667	8.1575667	7.5937333	7.0796333
G14	3.2419333	3.5817000	3.0249000	3.2421000	2.9493333	3.0837333	2.9254500	3.0164000	3.1547667	3.4359667	2.9381000	2.8925667	2.9029000	3.2462500	3.8588000	4.3874333	2.3289000	2.1204667	4.6863000	5.8225333	2.5164667	5.3548333	3.3706500	3.7517000	3.3250000	3.0835000	3.2506000	2.7012000	2.3149500	3.2787000	3.2094333	3.1090667	3.2176333	3.0814333	2.3083000	2.5165200	2.4506800	2.4147600	2.8704400	2.7526000	2.6243400	2.4627667	2.4622667	2.5419333	2.5880333	3.1285333	3.0575000	3.0762000	3.0482333	2.9346333	2.9074333	3.2060000	3.0052333
G15	6.3413000	6.9341000	7.0698000	7.5158000	7.0092333	7.1744333	7.1423000	7.1361667	6.9841667	6.8888000	6.8174500	7.0637667	7.3246500	6.7930500	7.1815333	6.9459333	6.5844667	6.6148667	4.4525667	6.1477333	6.1510000	7.6178333	6.1181500	5.7423333	5.8750333	5.9024000	5.9145000	6.7912667	6.9083500	6.0308000	5.9807667	6.1404333	5.8155667	5.8021667	6.8733333	6.8669600	7.0244400	6.9743400	7.0993200	7.2516200	7.4308400	6.0631000	6.5213000	6.2836000	6.1683000	7.4691667	7.5223333	7.4741333	7.4406667	7.0283333	7.0846000	7.1187667	7.0980333
G16	8.5684000	9.1209000	8.4446500	7.8676000	9.3669333	8.9152667	8.3940000	8.9616667	7.5415333	9.1463333	8.6561000	7.9211333	8.7851000	7.8988000	8.9460667	10.7546667	8.1756000	8.3678000	3.6482667	3.4971667	7.8065667	5.8164000	7.6644500	8.8684333	10.3986667	8.1446000	8.9928000	8.0685333	8.2686500	8.3134667	8.6596667	8.7597333	8.6226333	8.3485667	7.2342333	8.0423400	8.1890800	8.1911000	7.8185000	8.4930400	9.5590400	9.6836667	9.8971000	10.0026000	9.9039333	7.9287000	7.9732667	7.9925667	8.3317000	8.2803333	8.4443333	7.8843000	8.3556667
G17	11.2576667	10.8923333	11.0810000	10.3306667	9.5907333	9.8518000	11.4645000	9.8887667	10.0766667	9.1093333	11.6945000	11.8310000	11.5265000	11.0980000	10.1253333	9.6738000	11.4876667	11.7560000	5.1756333	4.8385667	8.7544000	7.4766333	11.1580000	10.6793333	10.0047333	10.6680000	9.9553000	11.2210000	11.6935000	10.7763333	10.6613333	10.5820000	10.5673333	10.3176667	10.2813333	10.7864000	10.5904000	10.6498000	11.0784000	10.1940800	10.3284000	11.3743333	11.3653333	11.2433333	11.3313333	10.2663333	10.3030000	10.3830000	10.1426333	11.5486667	11.3986667	11.7190000	11.5623333
G18	4.3425000	3.0262333	5.4295500	2.8158667	2.7866333	2.6517333	7.6787000	2.5909667	2.7393333	2.8512000	2.4650500	2.6739000	2.2682000	2.7083000	3.5118000	3.6451667	3.1959333	3.6737333	4.1807667	3.5876000	2.5362333	2.7377333	2.7243000	3.0204667	2.9014000	2.6640000	2.9249000	4.3650667	4.0221500	2.7799333	2.7144000	2.7827667	2.6649333	2.6221667	2.1097333	2.5763400	2.5006200	2.5455000	2.4543200	2.5300800	2.4937400	4.8830667	5.0461333	4.7453667	4.8932333	2.6683000	2.7206333	2.4620000	2.7220667	3.0649000	3.3291333	3.0774667	3.1760000
G19	9.1892667	9.4364667	8.7999000	7.9459333	9.3763000	8.6481667	8.2914500	9.1097000	8.4610667	8.4913667	8.0708000	7.9657667	8.3967500	7.6872500	7.1033667	8.0376000	9.1585000	8.9058667	3.9229333	4.6918000	6.8965000	4.5169333	7.2802500	9.1416000	9.1843000	8.8122000	9.2736000	9.1195333	9.1607000	8.4110000	8.7074667	9.0630333	8.9641000	8.4074333	6.7068333	7.4628200	7.6538800	7.5131600	7.0654600	8.5684200	8.9717000	9.2164333	9.3278667	9.1248000	9.4638667	7.8133000	8.0512333	7.9876333	8.4143000	8.8876667	8.7579667	8.9342000	8.8990000
G20	6.0783333	5.6928000	7.2825000	7.7197667	7.9458000	7.7425333	7.1687500	8.0956333	7.2201333	6.8120667	5.9508000	6.2941667	6.0236000	5.3279000	6.4599000	6.4322333	8.6847333	8.2184000	5.3845333	5.1770000	7.3251333	5.6812667	6.6478000	7.4783000	7.5311667	7.2552000	7.6119000	6.9933667	7.2508500	7.2175667	7.0352000	7.3245333	7.2929667	6.7931667	8.0163667	8.4598800	8.3240200	7.1212000	8.1805000	7.4016400	7.1754600	6.4561667	6.5393333	6.4805000	6.4183000	7.4892333	7.7667667	7.7166000	7.9459333	6.2909333	6.5971000	6.3145333	6.3162667
G21	6.9446333	4.5285333	6.7480500	6.9650000	5.7527667	5.8148000	7.8309000	6.1347000	5.9369333	4.3816667	5.4864500	5.8997667	5.4453000	3.7805500	4.6417000	4.6879000	5.8790667	5.6604333	5.5332000	4.2840333	6.0879333	5.0896333	7.2030500	6.6085000	6.8158000	7.4852000	6.7873000	5.5335000	5.7489000	7.3499000	7.1866667	7.4910333	6.9256333	7.0903333	7.0596000	4.9256200	4.9336600	5.4629800	4.6405600	5.2095800	5.0739000	6.8060667	7.3516000	7.1833333	7.0714667	6.8998333	7.2163333	6.9868667	6.7379667	5.8947667	5.8543333	6.0821000	6.3007667
G22	7.6205667	7.6758667	7.5912500	7.5519333	8.6766333	7.8262000	7.8948500	9.4424667	8.3658333	8.8467333	7.2956500	7.2420333	7.4950500	7.6569000	9.3621333	9.0632333	10.1189333	10.4296667	5.2437000	5.1371333	8.7718333	8.4936667	7.3741000	7.3835333	7.3190000	7.4213000	7.0187000	8.4021333	9.2393000	7.5615667	7.4911333	7.4567333	7.4580333	7.3977000	8.1932333	10.5796000	10.7580000	10.3808000	9.8914400	9.1227200	10.2885000	7.1318000	7.4027000	7.3534000	7.3508000	7.6432667	7.6500000	7.6711000	8.3267000	9.6126667	10.2070000	8.9257667	9.8438667
G23	9.6884667	8.6842333	10.0600000	9.1539000	9.1610000	9.1027000	10.1040000	9.1948333	9.6046333	9.5756333	9.5488000	9.1482333	9.0960500	9.1819000	9.0101333	9.3531000	9.7751667	9.6065667	6.1177667	5.9992667	7.8837000	7.1541333	8.1773000	8.9937333	9.7304667	8.7218000	9.8281000	9.6060333	9.6856500	8.9460000	9.0018000	9.1757000	9.0700000	8.9349333	8.4923000	10.0265000	10.0616000	10.0140600	9.9426600	10.1852000	9.5477400	9.8076000	9.9295667	9.8658000	9.9913000	9.0315333	9.1732333	9.2089667	9.2715333	9.3220333	9.2745000	9.3613333	9.3783333
G24	7.2080333	7.3393000	9.6235500	8.9032000	8.6885667	8.1370667	6.6781000	7.1170000	8.8930667	7.2994667	8.5573000	8.9043000	9.0208000	9.8811500	8.7683333	7.4628000	9.5476333	8.0237667	8.4291667	7.3803000	8.8656667	8.4476000	6.8271000	8.4417000	8.9207667	9.4689000	8.2886000	7.0142667	8.5097500	9.1775000	8.1170333	8.8443333	8.7316333	9.1143333	7.4745667	8.7905000	8.9789200	7.8120400	6.3831200	6.3131200	8.2375800	9.0974333	8.8787000	9.0251000	8.8071000	9.2235333	8.4245000	8.3427000	8.8016667	9.0175000	9.1077667	9.8736333	7.8551000
G25	6.8455667	7.1147667	7.1088000	6.6027333	7.1664333	6.8510667	5.6805500	6.5518667	8.2528667	5.7173000	6.2483500	7.3506000	6.8217500	7.7519000	7.7092000	7.1927333	6.5149333	6.7341333	7.7607667	8.1861000	6.7166667	6.7564000	6.7247500	6.3766667	7.5796333	6.2620000	7.0627000	6.8492000	7.8481000	6.8945000	6.2545333	6.1678000	7.6209667	7.3306333	6.9274667	7.2118000	7.0138000	7.5302600	7.6519200	6.6560000	7.0201000	7.1344333	7.1981667	5.6153333	5.5287333	6.3243333	7.5449333	6.2382667	6.7664000	6.6630333	6.8581000	6.2203333	6.6336333
G26	5.4044000	4.1675667	5.6018000	4.5973000	4.8453000	4.9754000	6.3105000	4.9878000	6.3217667	5.3064000	4.8655000	5.0507667	4.5187000	5.0828000	5.1939000	5.0959333	5.2267000	5.5737667	6.4534667	4.0509000	5.9079333	4.7441667	7.7790500	6.7653000	6.2307667	5.7732000	5.0285000	5.4348000	5.6338500	6.5743667	6.2376333	5.9353333	5.8963000	5.6950333	10.1566000	5.6382800	5.3426400	5.1446800	6.0437600	5.4261000	4.6424600	5.6274000	5.5403667	5.5672000	5.6794333	4.6043000	4.8596000	4.8194667	4.8789667	7.4610667	7.2515333	7.4505333	7.2491000
G27	5.9848333	5.0566000	6.9253000	6.8022667	7.4419000	7.0672333	7.1171000	7.6470333	6.1178667	4.9110333	5.9215500	5.8570667	6.2470500	5.3820000	6.0927333	5.8132667	8.4048333	8.7227667	5.7871000	5.3470000	7.9813333	5.0451667	7.5645500	7.2804667	7.0232667	7.6673000	8.0638000	6.4467667	6.5271000	7.6724000	7.5818667	7.7166333	7.6105000	7.0076667	7.4466333	7.6697400	7.8099800	7.6754800	6.7777600	6.7764000	7.1226000	6.4239000	6.8171667	6.5772000	6.8134000	6.8387667	6.5639667	6.9791000	7.1954667	5.1869333	5.4308333	5.3881667	5.3177667
G28	7.1463000	8.4006000	7.4435500	7.9588333	7.9785667	7.7303333	7.4013500	7.9866667	6.4643000	6.0612000	7.1641000	7.5384333	7.5210500	7.7498500	6.4075333	6.2219000	7.2722333	6.9489000	4.8792000	5.0948667	5.9567333	6.1767000	7.5925000	7.9002000	7.7165000	8.1039000	7.8292000	7.6441333	7.5306000	7.9207667	7.9620000	8.0554333	7.9739000	7.6794000	6.8616333	6.9220200	6.7470600	6.5091400	7.4122600	6.5630800	6.6221800	5.9323667	5.9005667	6.0613667	6.0921667	8.0204333	7.9070000	7.9727333	7.8619333	7.3794667	7.5405667	7.3850333	7.4330333
G29	10.2465333	9.6527667	9.9907000	10.2323333	10.5183333	10.4736667	9.9819000	10.4716667	9.7859333	10.5040000	9.6610000	10.0244667	9.7410500	9.4333500	10.3680000	10.3353333	10.2130000	10.3180000	6.9014333	5.7060667	9.0518000	7.6069667	9.9115000	10.3776667	10.6476667	9.8735000	9.8295000	9.7563000	10.0816500	9.9540000	10.0577000	9.9755000	9.8492667	10.0578667	8.5634667	9.7632800	9.6677400	9.4876600	10.0294600	9.9414600	10.2616400	10.2843333	10.2590000	10.3023333	10.3143333	10.1783333	10.3353333	10.2800000	10.3643333	10.6770000	10.8900000	10.3870000	10.7150000
G30	11.3780000	10.2384000	8.7277500	8.8526333	9.1332000	8.8226333	8.7707000	9.0424667	8.1224333	9.6655000	10.4020000	9.6253333	10.2282500	10.4942000	8.8287333	9.2848000	9.6097000	9.4544333	4.3274333	5.0449333	8.1729333	4.8051667	8.3773000	10.1146667	9.4520333	9.9057000	11.5330000	6.8133667	7.1424000	9.5456000	9.7667667	10.0389000	9.7058000	9.9265667	10.3773333	8.2194800	7.7569200	7.0620800	8.5246400	7.9891000	7.8771400	10.8803333	10.8680000	11.1090000	10.9896667	8.8773000	8.9601000	8.9438667	8.9081333	9.2046000	9.1244667	9.2721333	9.2385000
G31	9.7808333	9.9324000	9.0548500	9.1700333	9.0612000	9.2744333	7.8914000	9.1426667	7.8716333	7.6413000	8.1293000	8.1559667	8.1293000	7.3568500	9.1512333	9.4142000	10.1910000	8.3811333	8.3899667	7.4797000	7.5711667	8.6387333	8.2653500	9.8736333	9.6422000	10.4960000	7.9337000	9.3124333	7.1025500	8.5754333	8.5841667	8.3950000	8.9313333	6.9752000	8.9828000	8.2113200	8.2880400	8.9941800	8.5411200	9.0117800	8.1045000	8.0352667	6.3231333	7.9225667	8.0749667	8.5679333	8.2978000	9.8188333	7.5290000	8.0823667	8.0406000	8.2678333	8.6306667
G32	7.6954667	10.5183333	8.5879000	10.2538667	10.5326667	10.0187667	8.4947000	10.6110000	9.3815333	6.7310667	6.7442500	7.5586333	6.6016500	6.0859500	8.4932667	7.5128000	8.5570333	8.9313667	4.4711000	5.0248333	11.6193333	9.7067667	8.3480000	8.7622333	7.5969333	8.5182000	9.1043000	9.2029667	9.0146500	8.4797000	8.5867000	8.4244000	8.3291333	8.0840667	7.4684667	8.3517000	7.7000600	7.3996000	10.2921400	9.2336200	8.7995400	5.7906667	6.2173667	5.9628667	5.9611333	10.2065667	10.3499000	10.2706667	10.2936667	10.4960000	10.6883333	10.6176667	10.6476667
G33	8.2074333	5.7837000	7.7196000	3.9010667	4.0992000	4.1289667	8.4455000	4.2077333	4.0640333	4.6459333	6.1602500	5.7720667	5.8694500	5.1934500	4.8199667	4.9715333	7.4891667	7.0880000	4.9052000	5.8189333	5.6966667	4.8037000	6.3007500	6.4417333	5.9744333	5.8488000	7.1904000	5.8640000	6.7390000	6.0923000	6.1244333	5.9527000	6.0778667	5.7441667	5.4902667	5.2860600	5.3402800	5.2186600	5.0363800	5.0605600	5.0928000	8.2456333	8.1198333	8.5617333	8.2964333	4.0280000	4.1113333	4.2807000	4.1485000	6.9175667	6.3934667	6.8021333	6.8932000
G34	10.5216667	9.8687000	11.1085000	11.5860000	10.9496667	11.4686667	11.2495000	11.0676667	11.4846667	10.7673333	11.3360000	11.1593333	11.4200000	11.5055000	11.9956667	11.3560000	11.4280000	11.3510000	5.6230667	5.0257000	10.8036667	9.4052000	12.2515000	11.4123333	10.9350000	11.5970000	10.7950000	11.5066667	11.5800000	11.6283333	11.3576667	11.3140000	11.4943333	11.7946667	12.3076667	12.0902000	11.8184000	11.8802000	11.6682000	10.5648000	11.0772000	8.9196667	9.0589000	9.0884667	9.1104333	11.6983333	11.6550000	11.6863333	11.4883333	10.8336667	10.6893333	10.7823333	10.7940000
G35	6.2531333	7.1477000	7.5594500	7.4631667	6.6935667	7.2222667	7.5700500	6.7333667	9.2812000	10.0230000	6.8143500	6.6978333	6.8459500	6.1041500	9.1763333	8.7706667	7.1739333	7.8295667	5.6847667	5.6575667	7.9898000	8.1515000	8.3466500	7.4904000	8.6097000	7.5935000	8.5799000	9.6739667	11.6340000	7.8381333	8.0429667	7.9095667	7.3533667	7.6211000	8.4342000	9.1360800	10.2588000	7.5388400	8.8784800	7.6254200	9.9250000	8.2436333	8.4547333	8.0124667	8.2292000	7.3285667	7.3151000	7.6042333	7.3903000	11.7580000	11.5680000	11.4970000	11.7100000
G36	11.4416667	9.7736333	10.8815000	10.5163333	9.9532333	9.8867000	10.0495000	10.2645000	9.6766667	8.2020000	10.5835000	10.4435000	10.9350000	10.6190000	9.3643333	8.7648667	12.0406667	11.9856667	7.1434333	5.5024667	6.9317333	3.6781333	9.9536000	10.0940000	8.3229000	10.5890000	8.5461000	9.1486333	9.8076500	10.3673333	10.1364000	10.3453333	10.3190000	10.4693333	10.4786667	9.4724600	9.3336400	9.5031600	9.4591000	9.4053000	9.2456400	8.0373333	7.7643667	8.4595333	7.7681667	10.3986667	10.9726667	10.6276667	10.5489333	10.6366667	10.5110000	10.6293333	10.7923333
